PC1,PC2,PC3,PC4,PC5
1.4659531,0.28164732,0.96433175,-0.50914425,0.04793203
1.0192878,0.3207407,1.0701066,-0.6296455,0.3384601
1.1649637,0.2955476,1.297659,-0.49071372,0.6041713
1.5281124,0.30412638,1.2195011,-0.3916952,0.043868065
1.353927,0.31325495,1.4169756,-0.5291559,-0.038027525
0.9815386,0.36290252,1.6164455,-0.68955445,0.1682893
0.5603966,0.4385556,1.6369783,-0.8024888,0.21524107
0.24418087,0.49362552,1.5151106,-0.8681399,0.24877048
0.11086185,0.5664767,1.3788005,-0.8308058,0.2588266
-0.0012913123,0.59030545,1.3642448,-0.7943809,0.4605534
0.83766943,0.29098618,1.3393302,-0.61197937,0.9150882
0.65554386,0.3215357,1.2434754,-0.67217356,0.73890805
0.9517653,0.31699085,1.0696148,-0.6122298,0.6571187
0.84275097,0.3935114,1.0711311,-0.61193025,0.38688135
1.0841603,0.38832152,1.2745949,-0.41047478,0.31057167
1.4148712,0.39185512,1.2344717,-0.3488227,-0.24375409
1.2047231,0.4002539,1.4527824,-0.49249405,-0.12458265
0.83575934,0.4482571,1.6441494,-0.64885473,0.097203255
0.43660122,0.4982816,1.6425972,-0.76703495,0.13567412
0.16036604,0.54856193,1.5083166,-0.8262118,0.18476307
0.054764006,0.61328757,1.3649058,-0.78735614,0.19715619
-0.048786692,0.59841406,1.3570899,-0.74751365,0.49592996
0.9739073,0.3577243,1.0309783,-0.5659342,0.40226984
0.9119306,0.4079386,1.0022783,-0.5763323,0.16413307
1.1991295,0.4796592,1.2943834,-0.3353352,-0.2768579
1.052311,0.47830546,1.4841496,-0.4614374,-0.19747722
0.6191233,0.54697406,1.6402068,-0.6145972,0.00044357777
0.2574797,0.58378565,1.5826185,-0.72320765,0.031155586
0.063403636,0.6295334,1.4396529,-0.7575155,0.061067104
-0.00459633,0.6822332,1.3290707,-0.72569454,0.124759436
-0.034217067,0.71442616,1.2662692,-0.68701196,0.1826868
0.012143385,0.6941451,1.2393909,-0.6683231,0.19077575
-0.01148843,0.6202065,1.302006,-0.70024467,0.39638674
1.1225233,0.35587132,0.9420208,-0.4925282,0.27981734
1.1016681,0.39355218,0.912463,-0.50131917,-0.026167631
0.6456029,0.4089042,1.074201,-0.6406027,0.6164588
0.9435286,0.5696882,1.3435357,-0.32521403,-0.2973078
0.86305255,0.5479711,1.5116622,-0.4400143,-0.26062208
0.43428013,0.6170727,1.6262217,-0.587371,-0.066918015
0.08928037,0.65878737,1.4992653,-0.6761016,-0.05873406
-0.08761418,0.7482215,1.3303139,-0.6696107,-0.013734698
-0.07186253,0.7625681,1.2753534,-0.64773154,0.06313121
-0.03498692,0.757805,1.2189374,-0.62595475,0.06089127
